campaign_id,campaign_name,start_date,end_date,campaign_type,target_segment,budget,actual_spend,reach,conversion_rate,roi,channel
M008,新会员招募,2024-11-30,2024-12-09,秒杀,全部,90010,79730,67893,0.1834,4.55,短信
M035,双11开门红,2024-12-04,2024-12-08,满减,新客,68279,62776,41428,0.0322,6.12,短信
M045,双12年终盛典,2024-12-28,2025-01-06,优惠券,特定品类偏好,73318,61218,78207,0.0417,3.71,朋友圈广告
M028,情人节限定礼盒,2025-01-05,2025-01-10,新品推荐,特定品类偏好,53479,49308,63876,0.1985,4.8,抖音广告
M001,春季新品上市,2025-01-07,2025-01-20,秒杀,新客,98084,82357,52559,0.0597,4.74,朋友圈广告
M018,月饼礼盒预售,2025-01-11,2025-01-23,秒杀,新客,38026,36591,50179,0.1146,5.8,朋友圈广告
M032,周边清仓特卖,2025-01-16,2025-01-24,满减,全部,81060,68801,5291,0.0658,7.41,抖音广告
M024,买一送一,2025-01-24,2025-01-28,优惠券,高价值,48960,41554,46077,0.0125,7.82,站内信
M038,情侣专属活动,2025-01-24,2025-02-02,限时折扣,高价值,21261,18522,83698,0.1383,0.54,邮件
M015,服饰换季折扣,2025-02-04,2025-02-17,会员专属,高价值,72030,62135,55127,0.1351,3.1,抖音广告
M019,618狂欢日,2025-02-21,2025-02-25,满减,活跃,99381,88901,47029,0.0106,3.0,站内信
M044,双11狂欢夜,2025-03-04,2025-03-17,新品推荐,活跃,20090,16200,80986,0.1529,1.84,抖音广告
M040,元旦跨年购,2025-03-15,2025-03-25,新品推荐,高价值,72062,69041,89178,0.0503,1.34,短信
M003,618年中大促,2025-04-25,2025-05-02,满减,活跃,32546,30862,59440,0.1528,6.99,抖音广告
M026,圣诞限定活动,2025-05-19,2025-05-26,满减,新客,27851,25903,85027,0.141,6.64,朋友圈广告
M009,双11返场,2025-05-21,2025-05-28,满减,新客,73255,60948,89148,0.1006,6.77,APP推送
M021,女神节专属优惠,2025-05-22,2025-06-01,买赠,高价值,45995,36838,4734,0.0703,7.65,朋友圈广告
M050,圣诞限定活动,2025-06-02,2025-06-07,优惠券,特定品类偏好,17361,15478,52522,0.1331,2.74,站内信
M046,踏青出游季,2025-06-10,2025-06-19,满减,活跃,42771,36519,51767,0.1605,3.27,小红书
M042,周末闪购,2025-07-03,2025-07-07,限时折扣,活跃,88247,71649,28814,0.1008,6.81,站内信
M025,暑期特惠季,2025-07-09,2025-07-14,优惠券,高价值,66340,63330,42220,0.0309,6.45,朋友圈广告
M041,双12品牌日,2025-07-16,2025-07-29,满减,全部,37474,32370,97612,0.0486,1.74,朋友圈广告
M017,国庆黄金周,2025-09-03,2025-09-16,优惠券,全部,10710,10411,55721,0.0059,1.78,抖音广告
M004,十一狂欢购,2025-10-12,2025-10-18,限时折扣,全部,56615,47880,76713,0.1529,3.39,站内信
M012,新生报到礼,2025-10-19,2025-10-26,新品推荐,全部,98198,87085,64507,0.0664,5.44,APP推送
M029,盲盒新品首发,2025-10-23,2025-10-27,秒杀,高价值,48025,40518,72842,0.0095,2.8,邮件
M039,七夕浪漫购,2025-11-02,2025-11-06,会员专属,沉睡,47992,45718,59269,0.1361,6.19,邮件
M043,满额赠礼,2025-11-09,2025-11-15,满减,活跃,49534,49479,57673,0.1724,3.5,邮件
M016,限时秒杀,2025-11-10,2025-11-13,买赠,沉睡,33519,27849,94098,0.1941,2.02,抖音广告
M048,买一送一,2025-11-13,2025-11-26,限时折扣,沉睡,80295,76004,48901,0.0246,1.38,抖音广告
M020,月末清仓,2025-11-25,2025-11-29,新品推荐,沉睡,14892,13475,18736,0.0872,2.55,朋友圈广告
M010,元宵喜乐购,2025-12-07,2025-12-20,优惠券,新客,57127,50460,88535,0.0327,3.23,朋友圈广告
M007,浪漫告白季,2025-12-15,2025-12-29,限时折扣,新客,65282,59367,99113,0.0921,2.33,朋友圈广告
